Element,Crystal System,Space Group,Space Group Number,a (Å),b (Å),c (Å),alpha (°),beta (°),gamma (°),Volume (Å³),Z,Density (g/cm³),Traditional Radius (Å),Volume Radius (Å),Corrected Volume Radius (Å),Primary Radius (Å),Atomic Volume (Å³),Coordination Number,Filename
Mg,hcp,P 63/m m c,194,3.2025,3.2025,5.2,90.0,90.0,120.0,46.19,2.0,1.75,1.60125,1.7666199035667893,1.6051508443807847,1.6051508443807847,23.095,12.0,Mg_(hcp)_EntryWithCollCode654648.cif
Mn,α-Mn,I -4 3 m,217,8.911,8.911,8.911,90.0,90.0,90.0,707.59,58.0,7.48,1.286,1.428088190913695,1.2306923812309256,1.2306923812309256,12.199827586206897,8.0,Mn_(α-Mn)_EntryWithCollCode42743.cif
Mo,bcc,I m -3 m,229,3.14737,3.14737,3.14737,90.0,90.0,90.0,31.18,2.0,10.22,1.3628511875545142,1.5497173739571648,1.3428301045338833,1.3428301045338833,15.59,8.0,Mo_(bcc)_EntryWithCollCode52267.cif
N,cP8,P a -3,205,5.661,5.661,5.661,90.0,90.0,90.0,181.42,4.0,1.03,2.8305,2.2123076477605164,2.0065630365187883,2.0065630365187883,45.355,,N_(cP8)_EntryWithCollCode15472.cif
Na,bcc,I m -3 m,229,4.282,4.282,4.282,90.0,90.0,90.0,78.51,2.0,0.97,1.854160389502483,2.1083148001194907,1.8268547743035388,1.8268547743035388,39.255,8.0,Na_(bcc)_EntryWithCollCode644903.cif
Nb,bcc,I m -3 m,229,3.300208,3.300208,3.300208,90.0,90.0,90.0,35.94,2.0,8.58,1.4290319828863174,1.6248744980524388,1.4079537525624384,1.4079537525624384,17.97,8.0,Nb_(bcc)_EntryWithCollCode645058.cif
Nd,α-La,P 63/m m c,194,3.6579,3.6579,11.7992,90.0,90.0,120.0,136.72,4.0,7.01,1.82895,2.013235051208324,1.8276147794869166,1.8276147794869166,34.18,12.0,Nd_(α-La)_EntryWithCollCode102657.cif
Ne,fcc,F m -3 m,225,4.52,4.52,4.52,90.0,90.0,90.0,92.35,4.0,1.45,1.5980613254815972,1.7664286488393486,1.5980879986049585,1.5980879986049585,23.0875,12.0,Ne_(fcc)_EntryWithCollCode24602.cif
Ni,fcc,F m -3 m,225,3.57787,3.57787,3.57787,90.0,90.0,90.0,45.8,4.0,8.51,1.2649680696019563,1.3982096412802447,1.2649602624662373,1.2649602624662373,11.45,12.0,Ni_(fcc)_EntryWithCollCode37502.cif
Np,α-Np,P n m a,62,6.663,4.723,4.887,90.0,90.0,90.0,153.79,8.0,20.47,2.3615,1.6618168832672675,1.4321142001247367,1.4321142001247367,19.22375,8.0,Np_(α-Np)_EntryWithCollCode105489.cif
O,"Multiple: β-O2 - hR2, γ-O2 - cP16",R -3 m H,166,5.0345,5.0345,9.0305,90.0,90.0,105.0,208.675,5.5,1.435,2.51725,2.068288199561012,1.8759373970018378,1.8759373970018378,37.092708333333334,,"Averaged from 2 files: O_(β-O2 - hR2)_EntryWithCollCode173934.cif, O_(γ-O2 - cP16)_EntryWithCollCode21107.cif"
Os,hcp,P 63/m m c,194,2.7359,2.7359,4.3186,90.0,90.0,120.0,27.99,2.0,22.56,1.36795,1.4949549235084882,1.3583160434998123,1.3583160434998123,13.995,12.0,Os_(hcp)_EntryWithCollCode52262.cif
P,"Multiple: red, α-As, black, violet",P 1 2/n 1,13,8.498750000000001,8.65475,14.91675,96.7475,97.9655,99.47749999999999,1161.3500000000001,44.0,2.665,3.3774375,2.4367996338584974,2.2101772679096574,2.2101772679096574,128.38470238095238,3.0,"Averaged from 4 files: P_(black)_EntryWithCollCode131503.cif, P_(red)_EntryWithCollCode207047.cif, P_(violet)_EntryWithCollCode131503.cif..."
Pa,α-Pa,I 4/m m m,139,3.921,3.921,3.235,90.0,90.0,90.0,49.74,2.0,15.43,1.604947565342868,1.810766252902739,1.5604752184188806,1.5604752184188806,24.87,8.0,Pa_(α-Pa)_EntryWithCollCode648332.cif
Pb,fcc,F m -3 m,225,4.8411,4.8411,4.8411,90.0,90.0,90.0,113.45,4.0,12.13,1.7115873192010975,1.891843903773094,1.7115511797435181,1.7115511797435181,28.3625,12.0,Pb_(fcc)_EntryWithCollCode204895.cif
Pd,fcc,F m -3 m,225,3.8905,3.8905,3.8905,90.0,90.0,90.0,58.89,4.0,12.0,1.3754994661031315,1.5204226050376395,1.3755263307775523,1.3755263307775523,14.7225,12.0,Pd_(fcc)_EntryWithCollCode648676.cif
Po,"Multiple: α-Po, β-Po",P m -3 m,221,3.3635,3.3635,3.3635,94.12,94.12,94.12,37.394999999999996,1.0,9.325,1.68175,2.0744334579724626,1.8815111463810235,1.8815111463810235,37.394999999999996,,"Averaged from 2 files: Po_(α-Po)_EntryWithCollCode43211.cif, Po_(β-Po)_EntryWithCollCode43212.cif"
Pr,α-La,P 63/m m c,194,3.6702,3.6702,11.828,90.0,90.0,120.0,137.98,4.0,6.78,1.8351,2.019400750498464,1.8332120013025057,1.8332120013025057,34.495,12.0,Pr_(α-La)_EntryWithCollCode43576.cif
