Element,Crystal System,Space Group,Space Group_Number,a (Å),b (Å),c (Å),alpha (°),beta (°),gamma (°),Volume (Å³),Z,Density (g/cm³),Metallic Radius (Å),Atomic Volume (Å³),Coordination Number,Calculation Method,Filename,Atomic Number,Element Category
La,α-La,P 63/m m c,194,3.774000,3.774000,12.171000,90.000000,90.000000,120.000000,150.130000,4,6.150000,1.887000,37.532500,12,alpha la,La_(α-La)_EntryWithCollCode641382.cif,57.000000,Lanthanides
Ce,fcc,F m -3 m,225,5.161200,5.161200,5.161200,90.000000,90.000000,90.000000,137.480000,4,6.770000,1.824760,34.370000,12,fcc,Ce_(fcc)_EntryWithCollCode292023.cif,58.000000,Lanthanides
Ce,α-La,P 63/m m c,194,3.673000,3.673000,11.802000,90.000000,90.000000,120.000000,137.890000,4,6.750000,1.836500,34.472500,12,alpha la,Ce_(α-La)_EntryWithCollCode43381.cif,58.000000,Lanthanides
Pr,α-La,P 63/m m c,194,3.670200,3.670200,11.828000,90.000000,90.000000,120.000000,137.980000,4,6.780000,1.835100,34.495000,12,alpha la,Pr_(α-La)_EntryWithCollCode43576.cif,59.000000,Lanthanides
Nd,α-La,P 63/m m c,194,3.657900,3.657900,11.799200,90.000000,90.000000,120.000000,136.720000,4,7.010000,1.828950,34.180000,12,alpha la,Nd_(α-La)_EntryWithCollCode102657.cif,60.000000,Lanthanides
Sm,α-La,P 63/m m c,194,3.619900,3.619900,11.680000,90.000000,90.000000,120.000000,132.550000,4,7.530000,1.809950,33.137500,12,alpha la,Sm_(α-La)_EntryWithCollCode52482.cif,62.000000,Lanthanides
Eu,bcc,I m -3 m,229,4.582400,4.582400,4.582400,90.000000,90.000000,90.000000,96.220000,2,5.240000,1.984237,48.110000,8,bcc,Eu_(bcc)_EntryWithCollCode53422.cif,63.000000,Lanthanides
Gd,hcp,P 63/m m c,194,3.633000,3.633000,5.773900,90.000000,90.000000,120.000000,66.000000,2,7.910000,1.816500,33.000000,12,hcp,Gd_(hcp)_EntryWithCollCode635713.cif,64.000000,Lanthanides
Tb,hcp,P 63/m m c,194,3.609200,3.609200,5.696600,90.000000,90.000000,120.000000,64.260000,2,8.210000,1.804600,32.130000,12,hcp,Tb_(hcp)_EntryWithCollCode104192.cif,65.000000,Lanthanides
Dy,hcp,P 63/m m c,194,3.590300,3.590300,5.647500,90.000000,90.000000,120.000000,63.040000,2,8.560000,1.795150,31.520000,12,hcp,Dy_(hcp)_EntryWithCollCode53357.cif,66.000000,Lanthanides
